ball_in_right_hand,ball_dist,box_size,ball_in_left_hand,box_ang,ball_ang,box_dist,ball_size,activation
1.0,0.158639455988,0.9,1.0,0.5218973951370001,0.0,0.765837425436,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.727661619386,0.0,0.492427355085,0.15,0.0
0.0,0.414014599458,0.9,0.0,-0.46878523161799995,0.36330193090400004,0.19053341961800002,0.15,0.0
1.0,0.25172408339,0.9,1.0,0.22997361946199998,0.0,0.440001064735,0.15,0.0
1.0,0.327380952381,0.9,1.0,-0.38825574411200003,0.0,0.725204824365,0.15,1.0
1.0,0.320139684421,0.9,1.0,0.053395807836300005,0.0,0.591308635989,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.49933619778800004,0.0,0.8351916393979999,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.44703033107600004,0.0,0.7071977475929999,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.573688897708,0.0,0.537767344006,0.15,0.0
1.0,0.327380952381,0.9,1.0,0.619009350358,0.0,0.679658995571,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.441839178508,0.0,0.512017060986,0.15,0.0
1.0,0.327380952381,0.9,1.0,0.633016476013,0.0,0.689709896417,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.24942734775699998,0.0,0.673781817048,0.15,1.0
1.0,0.297151097772,0.9,1.0,0.5248203342960001,-0.20519452980099998,0.753032055743,0.15,1.0
1.0,0.327380952381,0.9,1.0,0.46500766911799996,0.0,0.738177906066,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.0285644752818,0.0,0.47071889957199997,0.15,0.0
1.0,0.327380952381,0.9,1.0,-0.0398890111157,0.0,0.620222758832,0.15,1.0
1.0,0.21703795746399998,0.9,1.0,0.526099456415,0.0,0.689775607213,0.15,1.0
1.0,0.302396085281,0.9,1.0,0.580427145529,0.0,0.719055228591,0.15,1.0
1.0,0.327380952381,0.9,1.0,-0.491426803608,0.0,0.62478568342,0.15,0.0
0.0,0.37589563109499996,0.9,0.0,0.623796791996,0.0425603315045,0.274215158551,0.15,0.0
1.0,0.30857202513500004,0.9,1.0,0.294190734296,0.0,0.6618040367679999,0.15,1.0
0.0,0.647169714525,0.9,0.0,-0.44055827463799996,0.540011787566,0.687077072387,0.15,0.0
1.0,0.327380952381,0.9,1.0,-0.44055827463799996,0.0,0.687077072387,0.15,1.0
0.0,0.327380952381,0.9,0.0,-0.14803499974099998,0.0,0.568574767503,0.15,0.0
1.0,0.327380952381,0.9,1.0,-0.14803499974099998,0.0,0.568574767503,0.15,0.0
1.0,0.327380952381,0.9,1.0,-0.17610509010000003,0.0,0.60567767882,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.36515850223800006,0.0,0.6406683590300001,0.85,1.0
1.0,0.327380952381,0.9,1.0,0.149769395884,0.0,0.5324050573369999,0.15,0.0
1.0,0.327380952381,0.9,1.0,0.166613991121,0.0,0.6461285792970001,0.85,1.0
1.0,0.22772646818199999,0.9,1.0,0.353215551432,0.0,0.701366696116,0.85,1.0
0.0,0.35729164342200004,0.9,0.0,0.660873649506,0.0176801998045,0.561921411718,0.15,0.0
