ball_in_right_hand,ball_dist,box_size,ball_in_left_hand,box_ang,ball_ang,box_dist,ball_size,activation
0.0,0.43198984814400004,0.9,0.0,0.41455325586400005,0.324546445986,0.73116410595,0.85,1.0
0.0,0.327380952381,0.9,0.0,0.41455325586400005,0.0,0.73116410595,0.85,0.0
0.0,0.553571429,0.9,0.0,0.701888940343,-0.475817081744,0.577660708971,0.85,1.0
0.0,0.618134996467,0.9,0.0,0.270553905274,-0.47460559878799996,0.439144819262,0.85,1.0
0.0,0.519523853911,0.9,0.0,-0.56970077578,-0.14609438649599998,0.7229145100040001,0.85,1.0
0.0,0.327380952381,0.9,0.0,-0.56970077578,0.0,0.7229145100040001,0.85,0.0
0.0,0.470268157001,0.9,0.0,0.752412295073,-0.54545116714,0.30993697016,0.85,1.0
0.0,0.584568123655,0.9,0.0,-0.343227886172,-0.362767371925,0.621156740796,0.85,1.0
0.0,0.605090777416,0.9,0.0,-0.092241471316,0.572002714245,0.613361353108,0.85,1.0
0.0,0.251054560874,0.9,0.0,0.504662989978,0.343227886172,0.8177671342980001,0.85,1.0
0.0,0.553571429,0.9,0.0,0.45097352304899996,-0.517697709863,0.680966553162,0.85,1.0
0.0,0.619263601272,0.9,0.0,0.152848850973,-0.0171100969236,0.38066885385300003,0.85,0.0
0.0,0.553571429,0.9,0.0,0.152848850973,-0.0171100969236,0.38066885385300003,0.85,0.0
0.0,0.290457156258,0.9,0.0,-0.443857135804,-0.40166749577699995,0.550085785044,0.85,1.0
0.0,0.6646122130390001,0.9,0.0,-0.6909613849709999,-0.63550771035,0.43401153972900003,0.85,1.0
0.0,0.519523853911,0.9,0.0,-0.8498609899160001,-0.14609438649599998,0.47455131447400006,0.85,1.0
0.0,0.339440295516,0.9,0.0,0.7617190646170001,-0.746168463399,0.408267490246,0.85,1.0
0.0,0.620701871246,0.9,0.0,0.0441522762345,-0.430135111162,0.167224158486,0.85,1.0
0.0,0.534739534178,0.9,0.0,-0.695184351531,0.40878199951099997,0.589185667204,0.85,1.0
0.0,0.422619047619,0.9,0.0,-0.539359410093,0.83185351916,0.432471875471,0.85,1.0
0.0,0.433627025783,0.9,0.0,-0.227591960777,-0.604076241305,0.219767844542,0.85,1.0
0.0,0.513166976469,0.9,0.0,-0.6476613102000001,-0.46584006906400005,0.59409630965,0.85,1.0
0.0,0.42837729478200004,0.9,0.0,0.7732319700139999,0.533797641683,0.450673291662,0.85,1.0
0.0,0.488561912151,0.9,0.0,-0.541121736693,0.027725216862900002,0.293517225028,0.85,0.0
